customer_id,credit_score_band,utilization_pct,delinquency_count_12mo,account_age_months,default_label,credit_profile_note
acct_0009125,good,0.76,3,27,1,"Good band, 76% utilization, 3 delinquencies, defaulted."
acct_0009126,fair,0.686,10,172,0,"Fair band with 68.6% utilization, 10 delinquencies, and has not defaulted."
acct_0009127,good,0.443,6,1,0,"Good band with 44.3% utilization, 6 delinquencies, and has not defaulted."
acct_0009128,good,0.304,6,127,0,"Good band with 30.4% utilization, 6 delinquencies, and has not defaulted."
acct_0009129,excellent,0.166,0,164,0,"Excellent band with 16.6% utilization, no delinquencies, and has not defaulted."
acct_0009130,excellent,0.417,8,204,0,"Excellent band with 41.7% utilization, 8 delinquencies, and has not defaulted."
acct_0009131,fair,0.176,9,206,0,"Fair band with 17.6% utilization, 9 delinquencies, and has not defaulted."
acct_0009132,poor,0.475,11,117,1,"Poor band with 47.5% utilization, 11 delinquencies, and has defaulted."
acct_0009133,good,0.349,3,105,0,"Good band with 34.9% utilization, 3 delinquencies, and has not defaulted."
acct_0009134,good,0.148,4,0,0,"Good band with 14.8% utilization, 4 delinquencies, and has not defaulted."
acct_0009135,good,0.131,9,179,0,"Good band with 13.1% utilization, 9 delinquencies, and has not defaulted."
acct_0009136,good,0.319,7,188,0,"Good band with 31.9% utilization, 7 delinquencies, and has not defaulted."
acct_0009137,good,0.046,8,236,0,"Good band with 4.6% utilization, 8 delinquencies, and has not defaulted."
acct_0009138,good,0.823,1,32,0,"Good band with 82.3% utilization, 1 delinquency, and has not defaulted."
acct_0009139,excellent,0.097,3,147,0,"Excellent band with 9.7% utilization, 3 delinquencies, and has not defaulted."
acct_0009140,poor,0.389,10,106,1,"Poor band with 38.9% utilization, 10 delinquencies, and has defaulted."
acct_0009141,good,0.942,1,240,0,"Good band with 94.2% utilization, 1 delinquency, and has not defaulted."
acct_0009142,good,0.198,5,4,0,"Good band with 19.8% utilization, 5 delinquencies, and has not defaulted."
acct_0009143,fair,0.458,11,223,1,"Fair band with 45.8% utilization, 11 delinquencies, and has defaulted."
acct_0009144,fair,0.875,6,101,0,"Fair band with 87.5% utilization, 6 delinquencies, and has not defaulted."
acct_0009145,good,0.289,3,150,0,"Good band with 28.9% utilization, 3 delinquencies, and has not defaulted."
acct_0009146,good,0.142,10,13,0,"Good band with 14.2% utilization, 10 delinquencies, and has not defaulted."
acct_0009147,good,0.716,0,31,0,"Good band with 71.6% utilization, no delinquencies, and has not defaulted."
acct_0009148,good,0.373,6,194,0,"Good band with 37.3% utilization, 6 delinquencies, and has not defaulted."
acct_0009149,good,0.149,4,63,0,"Good band with 14.9% utilization, 4 delinquencies, and has not defaulted."
acct_0009150,good,0.226,1,10,0,"Good band with 22.6% utilization, 1 delinquency, and has not defaulted."
acct_0009151,fair,0.596,8,29,1,"Fair band, 59.6% utilization, 8 delinquencies, and has defaulted."
acct_0009152,fair,0.656,3,58,0,"Fair band, 65.6% utilization, 3 delinquencies, and has not defaulted."
acct_0009153,good,0.531,9,225,0,"Good band, 53.1% utilization, 9 delinquencies, and has not defaulted."
acct_0009154,excellent,0.149,5,128,0,"Excellent band, 14.9% utilization, 5 delinquencies, and has not defaulted."
acct_0009155,fair,0.808,2,174,0,"Fair band, 80.8% utilization, 2 delinquencies, and has not defaulted."
acct_0009156,good,0.51,3,151,0,"Good band, 51% utilization, 3 delinquencies, and has not defaulted."
acct_0009157,poor,0.691,11,201,0,"Poor band, 69.1% utilization, 11 delinquencies, and has not defaulted."
acct_0009158,excellent,0.375,4,175,0,"Excellent band, 37.5% utilization, 4 delinquencies, and has not defaulted."
acct_0009159,good,0.664,7,143,0,"Good band, 66.4% utilization, 7 delinquencies, and has not defaulted."
acct_0009160,good,0.553,0,37,0,"Good band, 55.3% utilization, 0 delinquencies, and has not defaulted."
acct_0009161,good,0.944,2,170,0,"Good band, 94.4% utilization, 2 delinquencies, and has not defaulted."
acct_0009162,good,0.059,6,172,0,"Good band, 5.9% utilization, 6 delinquencies, and has not defaulted."
acct_0009163,poor,0.973,11,62,1,"Poor band, 97.3% utilization, 11 delinquencies, and has defaulted."
acct_0009164,poor,0.688,12,101,0,"Poor band, 68.8% utilization, 12 delinquencies, and has not defaulted."
acct_0009165,fair,0.779,3,98,0,"Fair band, 77.9% utilization, 3 delinquencies, and has not defaulted."
acct_0009166,excellent,0.357,0,93,0,"Excellent band, 35.7% utilization, 0 delinquencies, and has not defaulted."
acct_0009167,fair,0.543,8,45,0,"Fair band, 54.3% utilization, 8 delinquencies, and has not defaulted."
acct_0009168,poor,0.734,11,108,1,"Poor band, 73.4% utilization, 11 delinquencies, and has defaulted."
acct_0009169,poor,0.722,11,50,1,"Poor band, 72.2% utilization, 11 delinquencies, and has defaulted."
acct_0009170,excellent,0.028,5,107,0,"Excellent band, 2.8% utilization, 5 delinquencies, and has not defaulted."
acct_0009171,fair,0.398,8,206,0,"Fair band, 39.8% utilization, 8 delinquencies, and has not defaulted."
acct_0009172,poor,0.366,10,105,0,"Poor band, 36.6% utilization, 10 delinquencies, and has not defaulted."
acct_0009173,fair,0.908,5,149,0,"Fair band, 90.8% utilization, 5 delinquencies, and has not defaulted."
acct_0009174,fair,0.256,7,19,0,"Fair band, 25.6% utilization, 7 delinquencies, and has not defaulted."
acct_0009175,excellent,0.256,5,69,0,"Excellent band, 25.6% utilization, 5 delinquencies, and has not defaulted."
acct_0009176,good,0.091,10,99,1,"Good band with 9.1% utilization, 10 delinquencies, and has defaulted."
acct_0009177,fair,0.118,7,37,1,"Fair band at 11.8% utilization, 7 delinquencies, and has defaulted."
acct_0009178,fair,0.598,8,68,1,"Fair band with 59.8% utilization, 8 delinquencies, and has defaulted."
acct_0009179,good,0.815,2,140,0,"Good band at 81.5% utilization, 2 delinquencies, and has not defaulted."
acct_0009180,good,0.804,0,110,0,"Good band with 80.4% utilization, no delinquencies, and has not defaulted."
acct_0009181,good,0.39,12,209,0,"Good band at 39% utilization, 12 delinquencies, and has not defaulted."
acct_0009182,fair,0.131,9,109,0,"Fair band with 13.1% utilization, 9 delinquencies, and has not defaulted."
acct_0009183,excellent,0.206,6,160,0,"Excellent band at 20.6% utilization, 6 delinquencies, and has not defaulted."
acct_0009184,excellent,0.301,3,85,0,"Excellent band with 30.1% utilization, 3 delinquencies, and has not defaulted."
acct_0009185,poor,0.804,6,17,0,"Poor band at 80.4% utilization, 6 delinquencies, and has not defaulted."
acct_0009186,good,0.21,8,82,0,"Good band with 21% utilization, 8 delinquencies, and has not defaulted."
acct_0009187,good,0.11,6,219,0,"Good band at 11% utilization, 6 delinquencies, and has not defaulted."
acct_0009188,fair,0.728,10,29,1,"Fair band with 72.8% utilization, 10 delinquencies, and has defaulted."
acct_0009189,poor,0.99,6,85,1,"Poor band at 99% utilization, 6 delinquencies, and has defaulted."
acct_0009190,good,0.24,7,193,0,"Good band with 24% utilization, 7 delinquencies, and has not defaulted."
acct_0009191,poor,0.584,11,10,0,"Poor band at 58.4% utilization, 11 delinquencies, and has not defaulted."
acct_0009192,good,0.786,5,175,0,"Good band at 78.6% utilization, 5 delinquencies, and has not defaulted."
acct_0009193,fair,0.195,9,148,0,"Fair band with 19.5% utilization, 9 delinquencies, and has not defaulted."
acct_0009194,poor,0.824,2,4,0,"Poor band at 82.4% utilization, 2 delinquencies, and has not defaulted."
acct_0009195,excellent,0.239,2,56,0,"Excellent band with 23.9% utilization, 2 delinquencies, and has not defaulted."
acct_0009196,fair,0.946,7,112,0,"Fair band at 94.6% utilization, 7 delinquencies, and has not defaulted."
acct_0009197,excellent,0.122,7,117,1,"Excellent band with 12.2% utilization, 7 delinquencies, and has defaulted."
acct_0009198,excellent,0.431,2,97,0,"Excellent band at 43.1% utilization, 2 delinquencies, and has not defaulted."
acct_0009199,good,0.322,1,87,0,"Good band with 32.2% utilization, 1 delinquency, and has not defaulted."
acct_0009200,good,0.288,3,202,0,"Good band at 28.8% utilization, 3 delinquencies, and has not defaulted."
acct_0009201,excellent,0.033,11,119,0,"Excellent band with low utilization at 3.3%, 11 delinquencies, and no default."
acct_0009202,fair,0.506,5,48,0,"Fair band with 50.6% utilization, 5 delinquencies, and no default."
acct_0009203,fair,0.783,4,157,0,"Fair band with high utilization at 78.3%, 4 delinquencies, and no default."
acct_0009204,poor,0.712,11,53,1,"Poor band with 71.2% utilization, 11 delinquencies, and defaulted."
acct_0009205,good,0.872,5,140,0,"Good band with high utilization at 87.2%, 5 delinquencies, and no default."
acct_0009206,good,0.506,1,38,0,"Good band with 50.6% utilization, 1 delinquency, and no default."
acct_0009207,excellent,0.44,6,141,0,"Excellent band with 44% utilization, 6 delinquencies, and no default."
acct_0009208,excellent,0.154,0,233,0,"Excellent band with low 15.4% utilization, no delinquencies, and no default."
acct_0009209,fair,0.905,2,142,1,"Fair band with high utilization at 90.5%, 2 delinquencies, and defaulted."
acct_0009210,poor,0.831,6,14,1,"Poor band with 83.1% utilization, 6 delinquencies, and defaulted."
acct_0009211,fair,0.226,12,24,0,"Fair band with low 22.6% utilization, 12 delinquencies, and no default."
acct_0009212,good,0.658,7,83,0,"Good band with 65.8% utilization, 7 delinquencies, and no default."
acct_0009213,good,0.163,2,1,1,"Good band with low 16.3% utilization, 2 delinquencies, and defaulted."
acct_0009214,good,0.37,8,71,0,"Good band with 37% utilization, 8 delinquencies, and no default."
acct_0009215,fair,0.478,8,172,0,"Fair band with 47.8% utilization, 8 delinquencies, and no default."
acct_0009216,excellent,0.661,2,193,0,"Excellent band with 66.1% utilization, 2 delinquencies, and no default."
acct_0009217,poor,0.62,12,20,0,"Poor band with 62% utilization, 12 delinquencies, and no default."
acct_0009218,good,0.231,9,100,0,"Good band with low 23.1% utilization, 9 delinquencies, and no default."
acct_0009219,excellent,0.052,3,94,0,"Excellent band with low 5.2% utilization, 3 delinquencies, and no default."
acct_0009220,fair,0.609,2,151,0,"Fair band with 60.9% utilization, 2 delinquencies, and no default."
acct_0009221,good,0.248,9,169,0,"Good band with low 24.8% utilization, 9 delinquencies, and no default."
acct_0009222,good,0.331,2,9,0,"Good band with 33.1% utilization, 2 delinquencies, and no default."
acct_0009223,excellent,0.031,0,122,0,"Excellent band with very low 3.1% utilization, no delinquencies, and no default."
acct_0009224,poor,0.952,8,89,0,"Poor band with high 95.2% utilization, 8 delinquencies, and no default."
acct_0009225,good,0.839,3,143,0,"Good band with 83.9% utilization, 3 delinquencies, and no default."
acct_0009226,poor,0.787,10,54,1,"Customer 9225 is in the poor band with 78.7% utilization, 10 delinquencies, and has defaulted."
acct_0009227,fair,0.812,6,82,0,"Customer 9226 is in the fair band with 81.2% utilization, 6 delinquencies, and has not defaulted."
acct_0009228,fair,0.342,11,213,0,"Customer 9227 is in the fair band with 34.2% utilization, 11 delinquencies, and has not defaulted."
acct_0009229,excellent,0.501,3,205,0,"Customer 9228 is in the excellent band with 50.1% utilization, 3 delinquencies, and has not defaulted."
acct_0009230,good,0.174,8,80,0,"Customer 9229 is in the good band with 17.4% utilization, 8 delinquencies, and has not defaulted."
acct_0009231,good,0.837,1,144,0,"Customer 9230 is in the good band with 83.7% utilization, 1 delinquency, and has not defaulted."
acct_0009232,fair,0.642,10,133,0,"Customer 9231 is in the fair band with 64.2% utilization, 10 delinquencies, and has not defaulted."
acct_0009233,fair,0.224,8,80,0,"Customer 9232 is in the fair band with 22.4% utilization, 8 delinquencies, and has not defaulted."
acct_0009234,good,0.689,0,178,0,"Customer 9233 is in the good band with 68.9% utilization, 0 delinquencies, and has not defaulted."
acct_0009235,fair,0.335,10,68,0,"Customer 9234 is in the fair band with 33.5% utilization, 10 delinquencies, and has not defaulted."
acct_0009236,good,0.703,2,11,0,"Customer 9235 is in the good band with 70.3% utilization, 2 delinquencies, and has not defaulted."
acct_0009237,excellent,0.188,0,138,0,"Customer 9236 is in the excellent band with 18.8% utilization, 0 delinquencies, and has not defaulted."
acct_0009238,poor,0.907,3,115,0,"Customer 9237 is in the poor band with 90.7% utilization, 3 delinquencies, and has not defaulted."
acct_0009239,excellent,0.27,7,230,0,"Customer 9238 is in the excellent band with 27.0% utilization, 7 delinquencies, and has not defaulted."
acct_0009240,fair,0.635,12,164,0,"Customer 9239 is in the fair band with 63.5% utilization, 12 delinquencies, and has not defaulted."
acct_0009241,fair,0.507,4,39,0,"Customer 9240 is in the fair band with 50.7% utilization, 4 delinquencies, and has not defaulted."
acct_0009242,fair,0.539,11,216,0,"Customer 9241 is in the fair band with 53.9% utilization, 11 delinquencies, and has not defaulted."
acct_0009243,good,0.213,7,30,0,"Customer 9242 is in the good band with 21.3% utilization, 7 delinquencies, and has not defaulted."
acct_0009244,good,0.046,7,54,0,"Customer 9243 is in the good band with 4.6% utilization, 7 delinquencies, and has not defaulted."
acct_0009245,excellent,0.014,3,147,0,"Customer 9244 is in the excellent band with 1.4% utilization, 3 delinquencies, and has not defaulted."
acct_0009246,poor,0.714,10,15,0,"Customer 9245 is in the poor band with 71.4% utilization, 10 delinquencies, and has not defaulted."
acct_0009247,excellent,0.232,1,96,0,"Customer 9246 is in the excellent band with 23.2% utilization, 1 delinquency, and has not defaulted."
acct_0009248,fair,0.809,4,100,1,"Customer 9247 is in the fair band with 80.9% utilization, 4 delinquencies, and has defaulted."
acct_0009249,poor,0.971,9,38,1,"Customer 9248 is in the poor band with 97.1% utilization, 9 delinquencies, and has defaulted."
acct_0009250,poor,0.612,12,81,1,"Customer 9249 is in the poor band with 61.2% utilization, 12 delinquencies, and has defaulted."
acct_0009251,excellent,0.165,0,192,0,"Excellent band with 16.5% utilization, no delinquency, and no defaults."
acct_0009252,excellent,0.142,5,75,0,"Excellent band at 14.2% utilization with 5 delinquencies, no defaults."
acct_0009253,excellent,0.051,5,86,0,"Excellent band, 5 delinquencies at 5.1% utilization, no defaults."
acct_0009254,fair,0.513,12,177,0,"Fair band, 51.3% utilization, 12 delinquencies, no defaults."
acct_0009255,poor,0.826,12,137,0,"Poor band with 82.6% utilization, 12 delinquencies, no defaults."
acct_0009256,good,0.43,3,51,0,"Good band, 43% utilization, 3 delinquencies, no defaults."
acct_0009257,good,0.209,8,123,0,"Good band at 20.9% utilization with 8 delinquencies, no defaults."
acct_0009258,fair,0.485,7,191,0,"Fair band, 48.5% utilization, 7 delinquencies, no defaults."
acct_0009259,poor,0.582,7,76,0,"Poor band with 58.2% utilization, 7 delinquencies, no defaults."
acct_0009260,fair,0.679,5,28,0,"Fair band, 67.9% utilization, 5 delinquencies, no defaults."
acct_0009261,excellent,0.174,6,151,0,"Excellent band at 17.4% utilization, 6 delinquencies, no defaults."
acct_0009262,fair,0.431,4,17,0,"Fair band with 43.1% utilization, 4 delinquencies, no defaults."
acct_0009263,excellent,0.614,1,217,0,"Excellent band, 61.4% utilization, 1 delinquency, no defaults."
acct_0009264,excellent,0.069,10,205,0,"Excellent band at 6.9% utilization with 10 delinquencies, no defaults."
acct_0009265,excellent,0.194,5,240,0,"Excellent band with 19.4% utilization, 5 delinquencies, no defaults."
acct_0009266,fair,0.217,9,36,0,"Fair band, 21.7% utilization, 9 delinquencies, no defaults."
acct_0009267,good,0.339,5,14,0,"Good band at 33.9% utilization, 5 delinquencies, no defaults."
acct_0009268,fair,0.453,3,125,0,"Fair band, 45.3% utilization, 3 delinquencies, no defaults."
acct_0009269,good,0.584,3,44,1,"Good band with 58.4% utilization, 3 delinquencies, one default."
acct_0009270,fair,0.184,12,86,0,"Fair band, 18.4% utilization, 12 delinquencies, no defaults."
acct_0009271,excellent,0.009,1,140,0,"Excellent band at 0.9% utilization, 1 delinquency, no defaults."
acct_0009272,fair,0.637,11,175,0,"Fair band with 63.7% utilization, 11 delinquencies, no defaults."
