customer_id,account_tenure_months,avg_monthly_spend,home_zip,credit_score_band,risk_tier,delinquency_flag,occupation,segment,profile_summary
acct_0000973,229,318.61,52954,poor,high,1,Sales Associate,subprime,High-risk customer with poor credit and high monthly spend.
acct_0000974,228,477.25,52671,excellent,low,1,Project Manager,prime,Stable customer with excellent credit and substantial monthly spending.
acct_0000975,226,390.09,23313,fair,high,1,Mechanic,subprime,High-risk customer with fair credit and high monthly spend.
acct_0000976,226,229.77,30303,fair,high,1,Retail Worker,subprime,High-risk customer with fair credit and low monthly spend patterns.
acct_0000977,236,258.23,18571,fair,high,1,Construction Worker,subprime,High-risk customer with fair credit and inconsistent spending behavior.
acct_0000978,233,481.69,61520,good,high,1,Software Engineer,prime,High-risk customer with good credit and moderate monthly spending.
acct_0000979,234,151.14,41577,excellent,low,1,Teacher,low,Low-risk customer with excellent credit and stable spending habits.
acct_0000980,204,181.65,60918,good,low,1,Nurse,low,Low-risk customer with good credit and consistent monthly expenditures.
acct_0000981,203,181.52,63073,good,low,1,Accountant,low,Low-risk customer with good credit and reliable spending patterns.
acct_0000982,236,66.3,73179,fair,high,1,Delivery Driver,subprime,High-risk customer with fair credit and low monthly spending.
acct_0000983,234,170.1,59232,excellent,low,1,Graphic Designer,low,Low-risk customer with excellent credit and stable spending.
acct_0000984,184,323.61,68314,good,low,1,Marketing Specialist,low,Low-risk customer with good credit and higher monthly expenditures.
acct_0000985,197,172.42,62842,good,low,1,Sales Associate,low,Low-risk customer with good credit and consistent spending behavior.
acct_0000986,223,214.8,68718,good,low,1,Data Analyst,low,Low-risk customer with good credit and moderate monthly spend.
acct_0000987,215,78.11,65497,excellent,low,1,Customer Service Rep,low,Low-risk customer with excellent credit and low spending.
acct_0000988,142,234.56,38458,excellent,low,1,Web Developer,low,Low-risk customer with excellent credit and moderate monthly expenditures.
acct_0000989,188,387.28,32165,good,low,1,Project Manager,low,Low-risk customer with good credit and higher spending levels.
acct_0000990,217,266.87,80868,good,low,1,Consultant,low,Low-risk customer with good credit and consistent spending habits.
acct_0000991,226,68.15,40842,good,low,1,Receptionist,low,Low-risk customer with good credit and very low spending patterns.
acct_0000992,215,350.09,59422,good,low,1,Operations Manager,low,Low-risk customer with good credit and stable spending behavior.
acct_0000993,212,138.09,27727,good,low,1,Warehouse Worker,low,Low-risk customer with good credit and low monthly expenditures.
acct_0000994,225,239.68,48827,excellent,medium,1,Financial Analyst,medium,Medium-risk customer with excellent credit and moderate spending patterns.
acct_0000995,215,111.25,57669,fair,high,1,Bartender,subprime,High-risk customer with fair credit and low monthly spend.
acct_0000996,110,147.52,66340,excellent,medium,1,Software Tester,medium,Medium-risk customer with excellent credit and moderate spending.
acct_0000997,233,261.08,57373,fair,high,1,Retail Manager,subprime,High-risk customer with fair credit and higher monthly expenditures.
acct_0000998,172,234.89,42458,excellent,low,1,SEO Specialist,low,Low-risk customer with excellent credit and consistent spending habits.
acct_0000999,238,190.58,96558,excellent,low,1,HR Manager,low,Low-risk customer with excellent credit and stable spending patterns.
acct_0001000,236,266.17,56146,excellent,low,1,Business Analyst,low,Low-risk customer with excellent credit and moderate monthly spending.
acct_0001001,224,368.83,82746,fair,high,1,Retail Manager,subprime,High-risk customer with fair credit and inconsistent spending patterns.
acct_0001002,219,433.31,76302,excellent,low,1,Software Engineer,prime,Stable low-risk customer with excellent credit and consistent spending habits.
acct_0001003,239,129.88,60247,fair,high,1,Freelance Graphic Designer,subprime,High-risk customer with fair credit and low monthly spending.
acct_0001004,237,277.62,89775,excellent,low,1,Accountant,prime,Low-risk customer with excellent credit and moderate spending.
acct_0001005,235,386.21,21543,good,low,1,Marketing Specialist,prime,Reliable low-risk customer with good credit and steady spending.
acct_0001006,206,187.25,92894,good,low,1,Nurse,prime,Low-risk customer with good credit and low spending levels.
acct_0001007,181,83.37,86519,excellent,low,1,Student,student,Low-risk student customer with excellent credit and minimal spending.
acct_0001008,233,273.33,55326,excellent,low,1,Retail Associate,prime,Low-risk customer with excellent credit and moderate spending.
acct_0001009,205,282.22,76004,excellent,low,1,Data Analyst,prime,Low-risk customer with excellent credit and consistent spending behavior.
acct_0001010,206,641.77,56824,poor,high,1,Construction Worker,subprime,High-risk customer with poor credit and high spending volatility.
acct_0001011,230,244.58,34188,good,high,1,Project Manager,subprime,High-risk customer with good credit and moderate spending.
acct_0001012,234,204.1,81987,fair,low,1,Administrative Assistant,prime,Low-risk customer with fair credit and low spending.
acct_0001013,213,205.48,32132,poor,high,1,Warehouse Worker,subprime,High-risk customer with poor credit and low spending.
acct_0001014,217,211.83,38300,excellent,low,1,Teacher,prime,Low-risk customer with excellent credit and moderate spending.
acct_0001015,212,266.1,56735,excellent,low,1,Sales Representative,prime,Low-risk customer with excellent credit and consistent monthly spending.
acct_0001016,229,86.58,85363,good,low,1,Research Assistant,prime,Low-risk customer with good credit and minimal spending.
acct_0001017,238,397.62,44552,excellent,low,1,Graphic Designer,prime,Low-risk customer with excellent credit and higher than average spending.
acct_0001018,238,58.51,54472,good,low,1,Intern,student,Low-risk student customer with good credit and very low spending.
acct_0001019,182,300.11,13749,excellent,low,1,Web Developer,prime,Low-risk customer with excellent credit and moderate spending.
acct_0001020,204,191.09,20426,excellent,low,1,Customer Service Rep,prime,Low-risk customer with excellent credit and low spending.
acct_0001021,218,298.17,15035,good,high,1,Financial Analyst,subprime,High-risk customer with good credit and moderate spending.
acct_0001022,239,264.6,16485,good,low,1,IT Support,prime,Low-risk customer with good credit and consistent spending.
acct_0001023,234,416.9,88165,good,low,1,Business Analyst,prime,Low-risk customer with good credit and higher spending.
acct_0001024,232,185.41,85778,fair,high,1,Retail Worker,subprime,High-risk customer with fair credit and low spending.
acct_0001025,226,165.25,83968,good,low,1,Delivery Driver,prime,Low-risk customer with good credit and low spending.
acct_0001026,226,221.81,15001,good,low,1,Accountant,prime,A stable customer with good credit and consistent spending habits over 18 years.
acct_0001027,238,125.37,16987,fair,high,1,Retail Manager,subprime,"A high-risk customer with fair credit and low monthly spending, indicating potential financial instability."
acct_0001028,216,343.75,35254,excellent,low,1,Software Engineer,prime,"An excellent credit holder with high spending patterns, reflecting strong financial responsibility."
acct_0001029,239,421.51,60875,good,low,1,Marketing Specialist,prime,"A low-risk customer with good credit and significant monthly spending, indicating reliable financial behavior."
acct_0001030,187,279.95,40071,good,medium,1,Project Manager,medium,"A medium-risk customer with good credit and moderate spending, suggesting possible fluctuations in financial stability."
acct_0001031,159,192.88,53879,excellent,low,1,Graphic Designer,prime,"A low-risk customer with excellent credit and consistent spending, showcasing responsible credit usage."
acct_0001032,234,153.69,25569,excellent,low,1,Web Developer,prime,"An excellent credit holder with low spending, indicating financial prudence and stability."
acct_0001033,206,199.61,75769,good,high,1,Sales Representative,subprime,"A high-risk customer with good credit but low spending, raising concerns about credit usage."
acct_0001034,210,169.45,38250,excellent,low,1,Data Analyst,prime,"A low-risk customer with excellent credit and moderate spending, suggesting reliable financial management."
acct_0001035,212,576.09,15988,excellent,low,1,Business Consultant,prime,"A low-risk customer with excellent credit and high spending, reflecting strong financial capabilities."
acct_0001036,230,143.55,76841,excellent,low,1,Customer Service Manager,prime,"An excellent credit holder with low spending, indicating careful financial habits."
acct_0001037,219,328.33,91250,poor,high,1,Freelance Writer,subprime,"A high-risk customer with poor credit and high spending, suggesting potential financial distress."
acct_0001038,236,90.66,11321,good,low,1,Teacher,prime,"A low-risk customer with good credit and low spending, indicating stable financial behavior."
acct_0001039,216,164.43,49300,excellent,low,1,Nurse,prime,"An excellent credit holder with moderate spending, reflecting responsible credit management."
acct_0001040,223,123.77,84444,good,medium,1,Sales Associate,medium,"A medium-risk customer with good credit and low spending, showing inconsistent financial behavior."
acct_0001041,231,294.44,73554,excellent,low,1,Financial Advisor,prime,"A low-risk customer with excellent credit and moderate spending, indicating strong financial responsibility."
acct_0001042,191,337.92,87088,excellent,high,1,Entrepreneur,subprime,"A high-risk customer with excellent credit but high spending, potentially indicating financial strain."
acct_0001043,174,199.44,47368,good,low,1,Research Scientist,prime,"A low-risk customer with good credit and moderate spending, demonstrating consistent financial habits."
acct_0001044,236,172.05,43503,poor,high,1,Construction Worker,subprime,"A high-risk customer with poor credit and low spending, indicating potential financial issues."
acct_0001045,234,131.26,73825,fair,high,1,Retail Associate,subprime,"A high-risk customer with fair credit and low spending, suggesting financial instability."
acct_0001046,230,204.03,23825,fair,high,1,Warehouse Manager,subprime,"A high-risk customer with fair credit and moderate spending, indicating possible financial challenges."
acct_0001047,223,355.01,31547,good,low,1,Graphic Designer,prime,"A low-risk customer with good credit and high spending, showcasing strong financial health."
acct_0001048,201,109.4,64075,good,low,1,Customer Support Specialist,prime,"A low-risk customer with good credit and low spending, indicating stable financial behavior."
acct_0001049,186,177.48,70160,good,high,1,Sales Manager,subprime,"A high-risk customer with good credit and moderate spending, suggesting potential financial unpredictability."
acct_0001050,238,328.78,20770,good,low,1,Software Tester,prime,"A low-risk customer with good credit and high spending, reflecting consistent financial responsibility."
acct_0001051,227,269.87,55747,excellent,low,1,Software Engineer,prime,Stable customer with excellent credit and consistent spending habits.
acct_0001052,225,236.37,42842,good,low,1,Project Manager,prime,Good credit and reliable spending indicate a low-risk profile.
acct_0001053,222,136.77,55156,excellent,low,1,Graphic Designer,prime,Excellent credit and low spending reflect a responsible cardholder.
acct_0001054,236,182.87,96257,good,low,1,Accountant,prime,Good credit and moderate spend show a stable financial behavior.
acct_0001055,231,157.89,16894,excellent,low,1,Data Analyst,prime,High credit score and low spend indicate a financially responsible customer.
acct_0001056,220,100.88,99590,excellent,low,1,Teacher,prime,Excellent credit with minimal spending reflects low risk.
acct_0001057,206,394.48,50461,good,low,1,Sales Manager,prime,Good credit and higher spending suggest a stable financial profile.
acct_0001058,237,206.75,79488,fair,high,1,Retail Associate,subprime,Fair credit and moderate spending indicate potential risk factors.
acct_0001059,179,121.09,48201,good,high,1,Customer Service Rep,subprime,Good credit but lower spending suggests a cautious financial approach.
acct_0001060,224,264.46,37986,excellent,low,1,Web Developer,prime,Excellent credit and consistent spending indicate a low-risk profile.
acct_0001061,231,247.28,79353,good,high,1,Operations Manager,subprime,Good credit with moderate spending shows potential for risk.
acct_0001062,203,151.2,71889,good,low,1,Nurse,prime,Good credit and responsible spending reflect a stable financial profile.
acct_0001063,209,243.37,22965,good,high,1,Marketing Specialist,subprime,Good credit with moderate spending indicates a potential risk concern.
acct_0001064,181,187.43,73485,fair,high,1,Freelancer,subprime,Fair credit and moderate spending reflect a higher risk profile.
acct_0001065,211,363.71,77776,good,low,1,Financial Analyst,prime,Good credit and high spending suggest a stable financial behavior.
acct_0001066,178,156.5,44905,excellent,low,1,Research Scientist,prime,Excellent credit and low spending indicate low risk.
acct_0001067,222,128.36,93307,excellent,low,1,Veterinarian,prime,Excellent credit with low spending reflects responsible financial habits.
acct_0001068,201,66.55,67679,excellent,medium,1,Intern,student,Excellent credit and low spending indicate a cautious and responsible approach.
acct_0001069,236,50.86,40026,excellent,low,1,Part-time Student,student,Excellent credit with minimal spending suggests low risk.
acct_0001070,141,192.52,10965,excellent,low,1,Software Tester,prime,Excellent credit and moderate spending reflect a low-risk profile.
acct_0001071,168,105.43,70745,fair,high,1,Delivery Driver,subprime,Fair credit and lower spending indicate potential risk factors.
acct_0001072,235,201.15,28814,fair,low,1,Office Clerk,subprime,Fair credit with moderate spending reflects a higher risk profile.
acct_0001073,239,178.04,78086,excellent,high,1,Entrepreneur,high,Excellent credit and moderate spending indicate a riskier financial profile.
acct_0001074,211,320.93,57257,good,low,1,Logistics Coordinator,prime,Good credit and high spending suggest responsible financial behavior.
acct_0001075,217,125.61,52004,good,high,1,Social Media Manager,high,Good credit with moderate spending indicates potential risk factors.
acct_0001076,230,317.74,24737,excellent,low,1,Software Engineer,prime,Long-term cardholder with excellent credit and consistent monthly spend.
acct_0001077,239,316.12,74034,excellent,low,1,Marketing Manager,prime,Stable cardholder with excellent credit and low risk; consistent spending habits.
acct_0001078,175,209.09,24931,good,low,1,Graphic Designer,prime,Good credit and moderate spend; reliable payment history over 14 years.
acct_0001079,205,196.14,47597,excellent,low,1,Accountant,prime,Excellent credit profile with low risk and steady monthly expenses.
acct_0001080,214,102.84,85266,good,low,1,Customer Service Rep,prime,Good credit with low spend; stable and low-risk payment behavior.
acct_0001081,201,829.74,92832,good,low,1,Sales Executive,prime,"High monthly spend but maintains good credit, indicating financial responsibility."
acct_0001082,210,655.58,99020,fair,high,1,Retail Manager,subprime,Fair credit with high spend; increased risk due to financial instability.
acct_0001083,222,88.45,96220,fair,high,1,Restaurant Worker,subprime,Fair credit and low spend; potential risk from inconsistent income.
acct_0001084,232,214.16,60036,excellent,low,1,Project Manager,prime,Excellent credit and moderate spend; reliable cardholder with low risk.
acct_0001085,218,240.13,28043,good,low,1,Data Analyst,prime,Good credit and steady spend; demonstrates consistent financial behavior.
acct_0001086,232,375.33,85515,poor,high,1,Construction Worker,high,High spend with poor credit; indicates significant financial risk.
acct_0001087,176,521.21,82145,excellent,low,1,Teacher,prime,Excellent credit and high spend; stable financial profile with low risk.
acct_0001088,237,898.54,99127,excellent,low,1,Entrepreneur,prime,High spend and excellent credit; financially responsible with low risk.
acct_0001089,225,330.28,68584,excellent,low,1,Nurse,prime,Excellent credit and consistent spending; reliable and low-risk profile.
acct_0001090,234,238.64,22743,excellent,low,1,Web Developer,prime,Excellent credit with moderate spend; stable financial habits observed.
acct_0001091,230,238.5,55260,good,low,1,Consultant,prime,Good credit with consistent spending; low-risk cardholder with reliability.
acct_0001092,239,436.41,50341,excellent,low,1,Financial Analyst,prime,Excellent credit and high spend; low-risk profile with consistent payment history.
acct_0001093,209,120.83,85864,good,low,1,Retail Associate,prime,Good credit and low spend; reliable and low-risk payment behavior.
acct_0001094,161,86.99,45331,excellent,low,1,Intern,student,Excellent credit but low spend; potential for growth in financial responsibility.
acct_0001095,188,257.56,39573,good,low,1,Freelancer,prime,Good credit with moderate spending; stable and reliable financial behavior.
acct_0001096,210,265.73,17204,excellent,low,1,Office Administrator,prime,Excellent credit and steady spend; a low-risk and reliable cardholder.
acct_0001097,219,193.84,85190,excellent,low,1,Sales Associate,prime,Excellent credit with low spend; reliable payment history over nearly 18 years.
acct_0001098,215,221.59,77978,excellent,low,1,Research Scientist,prime,Excellent credit and moderate spend; consistently low-risk financial behavior.
acct_0001099,207,204.87,13710,excellent,low,1,IT Specialist,prime,Excellent credit with low spend; demonstrates consistent financial responsibility.
acct_0001100,139,159.78,49039,good,low,1,Student,student,Good credit and low spend; potential for developing responsible financial habits.
acct_0001101,239,659.73,53174,good,high,1,Retail Manager,retail,High-risk retail manager with good credit and significant monthly spending.
acct_0001102,211,412.73,52238,excellent,low,1,Software Engineer,prime,Low-risk software engineer with excellent credit and stable spending habits.
acct_0001103,210,236.69,92702,excellent,low,1,Graphic Designer,prime,Low-risk graphic designer with excellent credit and moderate monthly expenses.
acct_0001104,193,194.41,23560,good,high,1,Construction Worker,retail,High-risk construction worker with good credit but low monthly spending.
acct_0001105,171,149.27,37570,excellent,low,1,Part-time Student,student,Low-risk student with excellent credit and minimal monthly spending.
acct_0001106,165,244.78,26283,fair,high,1,Freelance Writer,subprime,High-risk freelance writer with fair credit and low monthly spending.
acct_0001107,214,264.78,31967,good,low,1,Accountant,prime,Low-risk accountant with good credit and consistent spending.
acct_0001108,226,341,91638,fair,high,1,Delivery Driver,subprime,High-risk delivery driver with fair credit and average spending.
acct_0001109,230,295.11,94664,good,low,1,Teacher,prime,Low-risk teacher with good credit and reliable monthly expenses.
acct_0001110,206,236.25,14018,excellent,low,1,Marketing Specialist,prime,Low-risk marketing specialist with excellent credit and stable spending.
acct_0001111,208,645.05,66887,excellent,medium,1,Business Analyst,medium,Medium-risk business analyst with excellent credit and high monthly spending.
acct_0001112,237,258.24,30956,good,low,1,Sales Representative,prime,Low-risk sales representative with good credit and moderate spending.
acct_0001113,227,249.59,27330,excellent,low,1,Nurse,prime,Low-risk nurse with excellent credit and steady monthly expenses.
acct_0001114,225,319.01,36285,poor,high,1,Warehouse Worker,subprime,High-risk warehouse worker with poor credit and moderate spending.
acct_0001115,228,391.62,27494,excellent,low,1,Research Scientist,prime,Low-risk research scientist with excellent credit and substantial monthly spending.
acct_0001116,225,445.18,54117,excellent,low,1,Customer Service Rep,prime,Low-risk customer service representative with excellent credit and consistent expenses.
acct_0001117,238,264.12,99603,fair,high,1,Project Manager,retail,High-risk project manager with fair credit and moderate spending.
acct_0001118,207,218.06,62779,good,low,1,Data Analyst,prime,Low-risk data analyst with good credit and minimal monthly spending.
acct_0001119,239,174.29,75091,good,low,1,Barista,student,Low-risk barista with good credit and low spending.
acct_0001120,194,165.94,54395,excellent,low,1,Intern,student,Low-risk intern with excellent credit and very low monthly spending.
acct_0001121,153,134.27,11251,good,high,1,Retail Supervisor,retail,High-risk retail supervisor with good credit and low spending.
acct_0001122,217,296.42,17570,excellent,low,1,Software Developer,prime,Low-risk software developer with excellent credit and consistent spending.
acct_0001123,214,243.59,34198,fair,high,1,Electrician,subprime,High-risk electrician with fair credit and average spending.
acct_0001124,235,208.46,31929,excellent,low,1,Graphic Artist,prime,Low-risk graphic artist with excellent credit and moderate monthly expenses.
acct_0001125,210,357.86,85651,excellent,low,1,Web Designer,prime,Low-risk web designer with excellent credit and steady spending.
acct_0001126,210,41.23,85922,good,low,1,Librarian,student,"Long-tenured cardholder with low spend, consistently maintains good credit."
acct_0001127,216,342.21,86870,good,low,1,Software Engineer,prime,"Stable cardholder with high spend and good credit, low risk."
acct_0001128,236,325.25,67382,excellent,low,1,Marketing Director,prime,"High spend and excellent credit reflect a reliable, low-risk cardholder."
acct_0001129,235,309.11,60055,fair,high,1,Retail Manager,subprime,High spend with fair credit indicates potential risk in repayment.
acct_0001130,185,115.73,68422,excellent,low,1,Accountant,prime,"Excellent credit and moderate spend suggest a stable, low-risk profile."
acct_0001131,223,319.92,46612,fair,high,1,Freelance Writer,subprime,High spend with fair credit reflects a higher risk profile.
acct_0001132,227,173.91,70317,good,high,1,Construction Supervisor,subprime,Good credit and moderate spend indicate a riskier financial behavior.
acct_0001133,224,306.36,81499,excellent,low,1,Financial Analyst,prime,Consistent high spend and excellent credit denote a reliable cardholder.
acct_0001134,239,264.91,78660,good,low,1,Teacher,prime,Good credit and moderate spend suggest a stable financial profile.
acct_0001135,237,87.95,65244,excellent,low,1,Graphic Designer,prime,Excellent credit with low spend indicates a low-risk cardholder.
acct_0001136,177,194.68,15229,excellent,low,1,Nurse,prime,Excellent credit and moderate spend reflect a stable financial position.
acct_0001137,239,263.39,75244,excellent,low,1,Sales Representative,prime,"High spend with excellent credit indicates a reliable, low-risk profile."
acct_0001138,235,393.53,42994,excellent,low,1,Operations Manager,prime,High spend and excellent credit reflect a strong financial standing.
acct_0001139,239,351.74,76929,excellent,low,1,Real Estate Agent,prime,Excellent credit with high spend shows a low-risk financial behavior.
acct_0001140,236,116.44,58556,good,high,1,IT Consultant,subprime,Moderate spend with good credit indicates potential repayment risks.
acct_0001141,215,158.07,89305,good,low,1,Administrative Assistant,prime,Good credit and moderate spend suggest a stable financial profile.
acct_0001142,219,287.67,40460,excellent,low,1,Project Manager,prime,"High spend and excellent credit reflect a reliable, low-risk cardholder."
acct_0001143,224,147.37,93824,excellent,low,1,Chef,prime,Excellent credit with moderate spend indicates a stable financial position.
acct_0001144,140,105.19,86002,good,low,1,Retail Sales Associate,prime,Good credit and low spend suggest a low-risk financial behavior.
acct_0001145,213,323.32,39799,excellent,low,1,Software Developer,prime,High spend with excellent credit indicates a strong financial profile.
acct_0001146,227,138.05,53431,fair,high,1,Warehouse Supervisor,subprime,Moderate spend with fair credit suggests potential repayment concerns.
acct_0001147,216,376.16,57820,poor,high,1,Construction Worker,subprime,High spend and poor credit indicate a high-risk financial profile.
acct_0001148,223,252.29,79175,good,high,1,Restaurant Owner,subprime,Moderate spend with good credit reflects a higher risk profile.
