ft_case_id,transaction_id,account_num,loss_dt,reported_dt,fraud_type_cd,gross_fraud_amt,merchant_credit_amt,net_fraud_amt,chargeback_amt,chargeback_cnt,total_transaction_cnt,external_status_desc,case_narrative,loss_type_desc
case_0000626,txn_00019703,acct_0004169,2026-02-18,2026-03-07,LST,1301.3,206.54,1094.76,601.9,1,5,Confirmed Fraud - Chargeback Filed,"Found unauthorized $450 purchase of luxury handbags from a site in France, linked to a card involved in multiple overseas transactions.",Gross
case_0000627,txn_00019739,acct_0002514,2026-02-20,2026-03-05,BUS,496.51,279.28,217.23,133.87,0,11,Fraud Investigation - Awaiting Customer Response,"Identified suspicious $200 charge for online courses from a U.S. site, originating from a card reported compromised in a data leak.",Recovered
case_0000628,txn_00019748,acct_0000061,2026-01-21,2026-01-30,BUS,179.43,24.83,154.6,118.91,2,7,Fraudulent Transaction - Account Closed,"Detected a $3,200 overseas purchase from a counterfeit card in London, traced to an online data breach affecting multiple accounts.",Recovered
case_0000629,txn_00019769,acct_0001569,2026-01-19,2026-01-31,CNP,12.13,6.35,5.78,8.82,1,8,Fraud Confirmed - No Chargeback Filed,"A stolen card was used for a $450 purchase at a hotel in Dubai, reported lost by a cardholder from New York shortly before the charge.",Recovered
case_0000630,txn_00019777,acct_0003672,2026-02-18,2026-02-18,CNP,31.31,3.18,28.13,4.44,2,6,Fraud Confirmed - No Chargeback Filed,"Investigated a $2,700 online furniture order in Mexico, connected to a bust-out scheme involving multiple fake identities.",Recovered
case_0000631,txn_00019791,acct_0000958,2026-02-13,2026-03-01,FPF,2293.62,810.16,1483.46,19.23,1,11,Fraudulent Transaction - Account Closed,The analysis showed a $250 charge at a clothing store in Australia was made with a stolen card reported lost by the owner in California.,Recovered
case_0000632,txn_00019796,acct_0001874,2026-03-30,2026-04-04,BUS,289.12,91.04,198.08,61.83,3,2,Confirmed Fraud - Chargeback Filed,"Case in Portugal; account takeover allowed scammers to purchase $3,000 worth of luxury watches online.",Gross
case_0000633,txn_00019873,acct_0004743,2026-02-06,2026-02-20,CNP,65.82,21.42,44.4,54.52,0,2,Fraudulent Activity - Account Suspended,"SIM swap case in Japan; fraudulent transactions worth $4,000 traced to an overseas IP address.",Recovered
case_0000634,txn_00019881,acct_0003927,2026-03-07,2026-03-27,FPF,457.36,170.55,286.81,27.83,2,5,Fraud Alert - Transaction Declined,"Fraudulent SIM swap reported in Thailand; $1,600 transferred to an unknown account within minutes.",Recovered
case_0000635,txn_00019947,acct_0003928,2026-03-13,2026-03-28,FPF,58.79,30.68,28.11,22.59,0,3,Confirmed Fraud - Refund Process Initiated,"A customer reported their card lost while in Paris, later discovering a $600 charge at a luxury boutique made without their authorization.",Net
case_0000636,txn_00019956,acct_0002843,2026-03-14,2026-03-17,ATO,18.96,5.96,13,15.08,3,1,Fraud Review Completed - No Action Needed,"A $2,100 transaction in Houston confirmed as counterfeit; investigation led to a local skimming operation targeting debit card users.",Net
case_0000637,txn_00019964,acct_0003231,2026-01-05,2026-01-08,CNP,450.58,171.56,279.02,20.63,2,8,Fraud Alert - Transaction Declined,"Detected $500 online purchase for home appliances from a retailer in Germany, originating from a card reported stolen in Canada.",Recovered
case_0000638,txn_00020016,acct_0002534,2026-01-20,2026-01-31,LST,192.52,56.01,136.51,145.23,3,7,Fraud Confirmed - No Chargeback Filed,"SIM swap case in Spain; $2,200 lost to fraudulent investment scheme after access gained to personal accounts.",Gross
case_0000639,txn_00020061,acct_0004375,2026-03-07,2026-03-11,CTF,258.01,135.59,122.42,168.17,3,3,Fraud Investigation - Awaiting Customer Response,"Detected $1,800 worth of fraudulent travel bookings in Europe, linked to a first-party fraud case with multiple chargebacks.",Net
case_0000640,txn_00020074,acct_0001454,2026-01-09,2026-01-20,ATO,956.42,266.4,690.02,476.79,2,11,Fraud Review Completed - No Action Needed,"SIM swap case in Spain; $2,200 lost to fraudulent investment scheme after access gained to personal accounts.",Net
case_0000641,txn_00020214,acct_0003156,2026-01-20,2026-01-26,FPF,254.71,131.01,123.7,60.76,0,9,Confirmed Fraud - Refund Process Initiated,Fraudulent SIM swap in Canada led to $850 transfer from a victim's bank account; investigation ongoing to trace the source.,Gross
case_0000642,txn_00020248,acct_0002921,2026-02-18,2026-03-08,LST,57.55,22.99,34.56,38.78,1,2,Potential Fraud - Customer Contacted,"Identified suspicious $200 charge for online courses from a U.S. site, originating from a card reported compromised in a data leak.",Net
case_0000643,txn_00020249,acct_0001513,2026-01-19,2026-01-21,CTF,126.71,31.93,94.78,88.4,0,4,Fraud Review Completed - No Action Needed,"Uncovered a $1,000 charge for digital subscriptions in Australia, traced back to a bust-out operation using false identification.",Recovered
case_0000644,txn_00020252,acct_0002920,2026-01-13,2026-01-18,FPF,200.07,56.57,143.5,128.88,3,7,Fraudulent Transaction - Account Closed,"Victim in Chile reported account takeover; $1,200 in digital currency stolen through compromised credentials.",Net
case_0000645,txn_00020350,acct_0001540,2026-01-19,2026-01-21,ATO,43.04,0.91,42.13,20.71,3,2,Fraudulent Transaction - Account Closed,Detected a $500 transaction in Atlanta from a counterfeit card; linked to a skimming device found on a nearby ATM.,Recovered
case_0000646,txn_00020360,acct_0002865,2026-03-06,2026-03-25,CNP,60.61,11.69,48.92,15.9,0,5,Confirmed Fraud - Refund Process Initiated,"Investigation initiated for $250 charge on travel site in New Zealand, originating from a card reported lost in the U.K.",Net
case_0000647,txn_00020453,acct_0002039,2026-02-11,2026-02-19,CNP,4624.96,1176.48,3448.48,588.48,1,11,Fraudulent Activity - Account Suspended,"A $350 charge at a bar in the Bahamas was linked to a stolen card reported by a traveler from New York, who lost it during the trip.",Net
case_0000648,txn_00020496,acct_0001716,2026-03-14,2026-03-28,LST,182.51,65.05,117.46,26.67,0,9,Fraud Confirmed - No Chargeback Filed,"Examined a $1,100 charge for furniture in Australia, suggesting a friendly fraud case due to multiple chargeback requests.",Recovered
case_0000649,txn_00020534,acct_0000538,2026-01-21,2026-02-06,LST,318.13,0.46,317.67,262.4,3,6,Fraudulent Transaction - Account Closed,"Victim in Chile reported account takeover; $1,200 in digital currency stolen through compromised credentials.",Recovered
case_0000650,txn_00020565,acct_0003198,2026-03-15,2026-03-30,ATO,40.81,19.22,21.59,4.62,0,1,Fraud Alert - Transaction Declined,"Investigated a $1,200 purchase of home appliances in Germany, linked to a suspected first-party fraud case with multiple accounts.",Net
case_0000651,txn_00020566,acct_0002921,2026-01-23,2026-02-05,ATO,180.36,34.86,145.5,53.87,2,7,Potential Fraud - Customer Contacted,"Detected a $3,000 purchase of sporting goods in Canada, linked to a bust-out scheme with forged identification presented.",Net
case_0000652,txn_00020626,acct_0000179,2026-01-20,2026-01-22,FPF,98.7,5.93,92.77,36.33,2,11,Fraudulent Transaction - Account Closed,"Found $90 fraudulent charge for hotel booking in Brazil, linked to a cardholder's information stolen during a public Wi-Fi session.",Recovered
case_0000653,txn_00020652,acct_0004193,2026-02-27,2026-03-11,CNP,1457.62,475.69,981.93,164.12,2,11,Confirmed Fraud - Chargeback Filed,"Account takeover in Texas; $1,100 stolen through unauthorized access to mobile banking app.",Net
case_0000654,txn_00020680,acct_0004983,2026-02-18,2026-03-07,LST,90.79,7.99,82.8,10.87,3,6,Fraud Alert - Transaction Declined,"Victim in Chile reported account takeover; $1,200 in digital currency stolen through compromised credentials.",Net
case_0000655,txn_00020697,acct_0002530,2026-03-30,2026-04-03,LST,265.61,113.82,151.79,204.58,1,3,Confirmed Fraud - Chargeback Filed,SIM swap case in Ireland; $900 lost from banking account before the victim could react.,Recovered
case_0000656,txn_00020706,acct_0000729,2026-02-27,2026-02-27,BUS,693.94,99.64,594.3,545.47,0,5,Fraud Alert - Transaction Declined,"A cardholder in Italy found a $600 unauthorized charge at a local restaurant in New York, connected to a card reported lost while traveling.",Net
case_0000657,txn_00020794,acct_0001352,2026-03-24,2026-03-30,ATO,2939.54,1217.16,1722.38,2211.51,3,5,Confirmed Fraud - Chargeback Filed,Fraud detected in Malaysia; unauthorized charges of $950 made after account takeover through phishing.,Gross
case_0000658,txn_00020808,acct_0004772,2026-03-25,2026-04-10,ATO,232.13,138.89,93.24,126.16,1,4,Fraudulent Transaction - Account Closed,"Account takeover in Illinois; $1,400 taken from the victim's account through unauthorized bill payments.",Net
case_0000659,txn_00020817,acct_0001334,2026-03-18,2026-03-26,FPF,229.33,68.48,160.85,65.18,3,7,Fraud Case Resolved - Account Restored,A customer in Canada reported a stolen card used for a $250 purchase at a local electronics store after losing it during a trip.,Gross
case_0000660,txn_00020845,acct_0002563,2026-03-27,2026-04-06,BUS,385.67,2.71,382.96,224.02,3,11,Suspicious Activity - Temporary Hold Placed,"Uncovered a $1,500 online jewelry purchase in Italy, linked to a scheme involving stolen identities and first-party fraud.",Gross
case_0000661,txn_00020885,acct_0001101,2026-03-04,2026-03-14,ATO,3486.43,347.09,3139.34,2867.54,2,5,Fraud Alert - Transaction Declined,"Investigated a $1,200 purchase of home appliances in Germany, linked to a suspected first-party fraud case with multiple accounts.",Net
case_0000662,txn_00020891,acct_0002862,2026-03-02,2026-03-11,FPF,92.37,18.11,74.26,67.69,0,7,Suspicious Activity - Temporary Hold Placed,A fraudulent charge of $800 at a casino in Las Vegas was flagged against a lost card reported by a customer visiting from Canada.,Net
case_0000663,txn_00020896,acct_0002580,2026-01-15,2026-02-01,LST,48.13,14.95,33.18,8.75,2,7,Fraud Case Resolved - Account Restored,"Fraud alert in Singapore; unauthorized online purchases totaling $1,800 made after account takeover.",Recovered
case_0000664,txn_00020903,acct_0001976,2026-03-22,2026-04-04,LST,1304.71,591.21,713.5,316.13,2,5,Fraud Investigation - Awaiting Customer Response,"Uncovered $600 unauthorized online purchase of a smartphone from a retailer in the U.K., originating from a card flagged for suspicious activity.",Recovered
case_0000665,txn_00020922,acct_0000749,2026-03-13,2026-03-31,BUS,254.15,81.1,173.05,43.91,1,8,Suspicious Activity - Temporary Hold Placed,"Flagged unauthorized $120 transaction for concert tickets on a site in the Netherlands, originating from a compromised account in the U.K.",Gross
case_0000666,txn_00021040,acct_0001021,2026-02-02,2026-02-02,CNP,127.84,60.49,67.35,34.43,1,9,Fraud Suspected - Investigation Ongoing,"A stolen card was used for a $700 online purchase in Italy, with the cardholder in Chicago reporting it lost during a recent trip.",Recovered
case_0000667,txn_00021128,acct_0004807,2026-02-13,2026-02-22,ATO,60.44,6.98,53.46,2.8,0,10,Fraud Investigation - Awaiting Customer Response,A suspicious $300 transaction at a restaurant in Paris was traced back to a stolen card reported by a customer living in California.,Recovered
case_0000668,txn_00021176,acct_0000655,2026-02-25,2026-03-04,ATO,112.27,16.72,95.55,40.1,1,8,Confirmed Fraud - Chargeback Filed,"Fraudulent SIM swap in Italy; $1,200 drained from the victim’s savings account within hours of the incident.",Gross
case_0000669,txn_00021216,acct_0001706,2026-02-20,2026-02-22,ATO,152.84,23.28,129.56,96.08,1,7,Fraud Suspected - Investigation Ongoing,"SIM swap incident in Sweden; $1,500 transferred to a fraudulent account after successful takeover.",Gross
case_0000670,txn_00021237,acct_0001877,2026-02-09,2026-02-16,ATO,202.07,45.21,156.86,1.91,2,5,Fraudulent Activity - Account Suspended,"Identified suspicious $300 charge for fashion items on a UK website, linked to multiple accounts registered with the same email in the U.S.",Net
case_0000671,txn_00021294,acct_0004820,2026-02-17,2026-02-17,CNP,543.78,187.4,356.38,331.82,3,8,Fraud Investigation - Awaiting Customer Response,A $200 charge at a fast-food chain in New Jersey was traced back to a stolen card reported by a customer vacationing in Hawaii.,Gross
case_0000672,txn_00021300,acct_0001242,2026-02-18,2026-02-18,LST,144.42,22.73,121.69,73.77,2,6,Fraud Suspected - Investigation Ongoing,A cardholder in Arizona discovered a $300 transaction at a local gym linked to a stolen card reported after losing it during a night out.,Gross
case_0000673,txn_00021319,acct_0003516,2026-02-01,2026-02-01,CNP,109.59,55.55,54.04,39.55,1,1,Fraud Review Completed - No Action Needed,"Detected $600 fraudulent charge for vacation rental in Greece, traced back to a cardholder's account compromised during a prior data breach.",Net
case_0000674,txn_00021336,acct_0001516,2026-02-17,2026-02-28,CNP,917.14,30.41,886.73,419.77,3,8,Fraudulent Activity - Account Suspended,"Detected a $3,200 overseas purchase from a counterfeit card in London, traced to an online data breach affecting multiple accounts.",Recovered
case_0000675,txn_00021342,acct_0004963,2026-01-20,2026-01-22,FPF,313.05,41.95,271.1,75.98,2,7,Confirmed Fraud - Refund Process Initiated,"Investigated $250 online transaction for health supplements from a retailer in India, linked to a card that was recently involved in a data breach.",Net
case_0000676,txn_00021360,acct_0004795,2026-01-17,2026-01-20,FPF,236.41,95.6,140.81,43.88,0,4,Fraud Investigation - Awaiting Customer Response,An investigation into a $450 charge at a boutique in Spain revealed it was made using a card reported lost by a customer in Texas.,Recovered
case_0000677,txn_00021428,acct_0001950,2026-03-08,2026-03-17,CNP,98.48,4.86,93.62,60.55,3,10,Potential Fraud - Customer Contacted,A cardholder in Arizona discovered a $300 transaction at a local gym linked to a stolen card reported after losing it during a night out.,Gross
case_0000678,txn_00021431,acct_0001083,2026-03-15,2026-03-15,ATO,90.77,31.25,59.52,61.93,1,5,Confirmed Fraud - Refund Process Initiated,"Analyzed a $2,800 luxury hotel booking in Las Vegas, suggesting possible friendly fraud due to conflicting cardholder statements.",Gross
case_0000679,txn_00021460,acct_0003674,2026-01-05,2026-01-11,LST,301.94,157.03,144.91,159.41,2,11,Fraud Investigation - Awaiting Customer Response,"Identified a $4,500 withdrawal from an ATM in Dubai, connected to a bust-out scheme involving compromised personal information.",Recovered
case_0000680,txn_00021650,acct_0003298,2026-02-18,2026-02-24,FPF,52.21,13.56,38.65,20.96,0,6,Fraud Alert - Transaction Declined,"The investigation revealed a stolen card was used for a $150 purchase at a bookstore in New York, reported lost by the owner in Florida.",Recovered
case_0000681,txn_00021679,acct_0001046,2026-01-20,2026-01-22,CTF,57.19,12.54,44.65,27.84,2,11,Fraud Case Resolved - Account Restored,"Fraudulent SIM swap reported in Thailand; $1,600 transferred to an unknown account within minutes.",Gross
case_0000682,txn_00021708,acct_0003683,2026-02-13,2026-02-22,BUS,142.45,57.23,85.22,26.64,2,11,Potential Fraud - Customer Contacted,A fraudulent $900 transaction at a Miami retail outlet was traced back to a skimming device found on the ATM used by several victims.,Net
case_0000683,txn_00021729,acct_0002627,2026-02-22,2026-02-22,LST,618.56,323.03,295.53,543.88,1,4,Fraudulent Transaction - Account Closed,"The investigation revealed a stolen card was used for a $150 purchase at a bookstore in New York, reported lost by the owner in Florida.",Recovered
case_0000684,txn_00021798,acct_0003050,2026-03-02,2026-03-05,FPF,56.08,0.48,55.6,6.96,2,10,Fraud Alert - Transaction Declined,"Reported $400 purchase of electronics from a U.S. retailer, traced to an overseas IP address in Nigeria, indicating potential carding activity.",Net
case_0000685,txn_00021828,acct_0001366,2026-01-19,2026-02-07,FPF,131.06,22.51,108.55,71.35,2,1,Fraud Suspected - Investigation Ongoing,The investigation revealed a $500 transaction at a retail store in Mexico was made with a stolen card reported lost by a traveler from Texas.,Net
case_0000686,txn_00021853,acct_0000152,2026-03-27,2026-04-13,CNP,828.96,12.75,816.21,723.94,1,9,Potential Fraud - Customer Contacted,"Identified unauthorized $120 transaction for food delivery service in Singapore, linked to a compromised card in a recent data breach.",Gross
case_0000687,txn_00021880,acct_0000591,2026-03-21,2026-04-01,CTF,202.15,16.76,185.39,81.46,2,8,Fraud Investigation - Awaiting Customer Response,Account takeover in Florida; hackers purchased $500 in gift cards after intercepting account recovery emails.,Net
case_0000688,txn_00021887,acct_0000166,2026-02-11,2026-02-24,ATO,325.88,97.15,228.73,124.86,0,11,Fraud Investigation - Awaiting Customer Response,"A stolen card was used for a $350 purchase at a hotel in Dubai, reported by a cardholder returning from an overseas trip.",Gross
case_0000689,txn_00021926,acct_0002818,2026-03-03,2026-03-12,CNP,292.14,118.94,173.2,213.86,1,2,Fraudulent Activity - Account Suspended,"A $4,600 purchase at a luxury retailer in London flagged as fraudulent; traced back to multiple compromised accounts in the area.",Net
case_0000690,txn_00021934,acct_0001044,2026-02-20,2026-02-23,CNP,86.49,12.58,73.91,11.92,2,10,Confirmed Fraud - Refund Process Initiated,"Account takeover in Texas; $1,100 stolen through unauthorized access to mobile banking app.",Gross
case_0000691,txn_00021943,acct_0004149,2026-01-24,2026-01-26,CTF,700.12,397.54,302.58,128.27,1,2,Confirmed Fraud - Chargeback Filed,A customer in Canada reported a stolen card used for a $250 purchase at a local electronics store after losing it during a trip.,Recovered
case_0000692,txn_00021980,acct_0004960,2026-03-13,2026-03-16,CNP,322.89,108.85,214.04,245.36,2,2,Fraud Alert - Transaction Declined,"A customer reported their card lost while in Paris, later discovering a $600 charge at a luxury boutique made without their authorization.",Gross
case_0000693,txn_00021982,acct_0000941,2026-03-11,2026-03-23,CTF,183.69,24.49,159.2,22.09,3,3,Confirmed Fraud - Chargeback Filed,"Counterfeit card used for a $2,000 transaction in Toronto; linked to a recent phishing scam targeting local residents.",Net
case_0000694,txn_00021988,acct_0002007,2026-01-15,2026-01-27,CNP,102.16,52.8,49.36,61.66,3,11,Fraud Review Completed - No Action Needed,"A stolen card was used for a $350 purchase at a hotel in Dubai, reported by a cardholder returning from an overseas trip.",Net
case_0000695,txn_00021991,acct_0003176,2026-03-10,2026-03-24,FPF,1281.65,417.96,863.69,758.29,2,11,Fraudulent Transaction - Account Closed,SIM swap incident in Germany; unauthorized access to banking app resulted in a $900 transfer to an overseas account.,Recovered
case_0000696,txn_00022082,acct_0000544,2026-03-14,2026-03-19,BUS,364.64,123.46,241.18,310.47,3,8,Suspicious Activity - Temporary Hold Placed,"A $2,800 overseas charge from a counterfeit card in Dubai prompted an investigation into a local skimming operation.",Gross
case_0000697,txn_00022088,acct_0001332,2026-01-17,2026-01-19,LST,486.25,42.16,444.09,214.6,0,7,Fraud Investigation - Awaiting Customer Response,"Account takeover in Colorado; $2,000 spent on airline tickets after hackers gained access through social media.",Net
case_0000698,txn_00022113,acct_0002005,2026-03-12,2026-03-27,BUS,116.97,63.78,53.19,22.68,3,1,Suspicious Activity - Temporary Hold Placed,"Fraudulent SIM swap in Italy; $1,200 drained from the victim’s savings account within hours of the incident.",Net
case_0000699,txn_00022115,acct_0000833,2026-02-18,2026-03-01,ATO,646.44,354.71,291.73,326.13,1,10,Suspicious Activity - Temporary Hold Placed,Detected a $500 transaction in Atlanta from a counterfeit card; linked to a skimming device found on a nearby ATM.,Recovered
case_0000700,txn_00022162,acct_0001856,2026-02-19,2026-03-06,BUS,280.91,153.52,127.39,186.28,0,3,Potential Fraud - Customer Contacted,"A $1,100 transaction in Seattle was flagged as counterfeit; related to a skimming device discovered on a local ATM.",Net
case_0000701,txn_00022208,acct_0001114,2026-03-13,2026-03-15,CTF,32.13,10.59,21.54,20.46,0,5,Fraud Suspected - Investigation Ongoing,"Uncovered a $1,500 online jewelry purchase in Italy, linked to a scheme involving stolen identities and first-party fraud.",Gross
case_0000702,txn_00022217,acct_0004617,2026-02-01,2026-02-03,ATO,1262.92,621.31,641.61,843.37,0,4,Confirmed Fraud - Refund Process Initiated,SIM swap incident in Germany; unauthorized access to banking app resulted in a $900 transfer to an overseas account.,Recovered
case_0000703,txn_00022257,acct_0000484,2026-02-10,2026-02-11,CNP,822.54,70.78,751.76,549.6,1,6,Fraud Case Resolved - Account Restored,"Investigator flagged a $3,300 online purchase from a counterfeit card; linked to a skimming operation in a neighboring state.",Net
case_0000704,txn_00022292,acct_0003974,2026-03-13,2026-03-24,BUS,659.53,57.41,602.12,461.32,2,11,Potential Fraud - Customer Contacted,"A cardholder in Germany reported a lost card after noticing a $250 charge at a local bar in Miami, leading to an immediate alert.",Gross
case_0000705,txn_00022323,acct_0000285,2026-02-20,2026-02-20,ATO,195.13,79.45,115.68,101.61,2,4,Confirmed Fraud - Chargeback Filed,"Investigation into a $2,000 online purchase revealed the use of a counterfeit card traced to a skimming incident in Miami.",Recovered
case_0000706,txn_00022346,acct_0001042,2026-01-02,2026-01-20,CNP,95.08,44.59,50.49,59.13,2,5,Fraudulent Activity - Account Suspended,"Uncovered $600 unauthorized online purchase of a smartphone from a retailer in the U.K., originating from a card flagged for suspicious activity.",Recovered
case_0000707,txn_00022419,acct_0002695,2026-03-13,2026-03-13,ATO,234.78,133.74,101.04,77.2,0,4,Fraudulent Activity - Account Suspended,"A $3,500 overseas purchase in Tokyo traced back to a counterfeit card, linked to a phishing scheme targeting travelers.",Gross
case_0000708,txn_00022431,acct_0001350,2026-03-13,2026-03-30,LST,14.92,3.66,11.26,2.65,1,7,Fraud Case Resolved - Account Restored,"Investigation initiated for $250 e-commerce purchase of cosmetics from an online store in Spain, traced to a compromised credit card in Mexico.",Net
case_0000709,txn_00022538,acct_0001683,2026-03-27,2026-04-16,LST,590.92,26.24,564.68,270.57,1,10,Suspicious Activity - Temporary Hold Placed,"A customer reported their card lost while in Paris, later discovering a $600 charge at a luxury boutique made without their authorization.",Net
case_0000710,txn_00022581,acct_0004643,2026-02-20,2026-02-22,CTF,396.63,93.92,302.71,103.64,1,4,Fraud Review Completed - No Action Needed,"Analyzed a $2,800 luxury hotel booking in Las Vegas, suggesting possible friendly fraud due to conflicting cardholder statements.",Net
